id,pokemon,title,soldprice,date,link
3,Energy,1999 Pokemon Game Base 1st Edition Water Energy PSA 10 Gem Mint Card #102,184.1,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Base-1st-Edition-Water-Energy-PSA-10-Gem-Mint-Card-%23102?itemId=294282750241&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Water Energy Misty Trainer Deck B Psa 10 Gem Mint 102/102 #102,139.6,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Water-Energy-Misty-Trainer-Deck-B-Psa-10-Gem-Mint-102%2F102-%23102?itemId=255058689270&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Water Energy Misty Trainer Deck B Psa 9 #102 102/102 Mint Fresh,108.6,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Water-Energy-Misty-Trainer-Deck-B-Psa-9-%23102-102%2F102-Mint-Fresh?itemId=255058688822&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Water Energy Shadowless #102 PSA 9 MINT,56.08,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Water-Energy-Shadowless-%23102-PSA-9-MINT?itemId=124774292779&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Card Water Energy 102/102 1st Edition Base Set,9.97,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set?itemId=164962018405&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Base Unlimited – Water Energy #102 - PSA 8 Mint,32.0,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Base-Unlimited-%E2%80%93-Water-Energy-%23102-%3D-PSA-8-Mint?itemId=284352480802&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Game Water Energy Shadowless 1st Edition #102 PSA 8 Q488,35.66,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Game-Water-Energy-Shadowless-1st-Edition-%23102-PSA-8-Q488?itemId=373652042675&q=Energy%201999%20102%2F102%20Water
3,Energy,1999 Pokemon Card Water Energy 102/102 1st Edition Base Set,3.25,---3-months-ago,https://www.mavin.io/item/1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set?itemId=393442771772&q=Energy%201999%20102%2F102%20Water
4,Energy,AVERAGE,--,AVERAGE,https://mavin.io/search?q=Energy+1999-2000+102/102+Water+NL&bt=sold&page=1
5,Mewtwo EX,AVERAGE,--,AVERAGE,https://mavin.io/search?q=Mewtwo EX+2016+BW45&bt=sold&page=1
6,Charizard EX,AVERAGE,$22.00,AVERAGE,https://mavin.io/search?q=Charizard EX+2016+XY17&bt=sold&page=1
6,Charizard EX,Pokemon Cards Charizard x2: 2016 11/108 XY Evolutions Holo; EX 2014 XY17 Rare,52.0,---a-month-ago,https://www.mavin.io/item/Pokemon-Cards-Charizard-x2%3A-2016-11%2F108-XY-Evolutions-Holo%3B-EX-2014-XY17-Rare?itemId=144198934042&q=Charizard%20EX%202016%20XY17
6,Charizard EX,Charizard EX XY17 - Black Star Promo - Holo Rare Pokemon Card (2016),15.8,---3-months-ago,https://www.mavin.io/item/Charizard-EX-XY17-%3D-Black-Star-Promo-%3D-Holo-Rare-Pokemon-Card-%282016%29?itemId=224547527615&q=Charizard%20EX%202016%20XY17
6,Charizard EX,2016 ULTRA RARE Charizard EX Pokemon XY17 Black Star Promo Holo Foil - LP,9.8,---3-months-ago,https://www.mavin.io/item/2016-ULTRA-RARE-Charizard-EX-Pokemon-XY17-Black-Star-Promo-Holo-Foil-%3D-LP?itemId=363465697854&q=Charizard%20EX%202016%20XY17
6,Charizard EX,Pokemon Charizard XY17 EX Holo NM/M Normal/Regular Size Promo Card 2016 🔥🔥🔥,18.79,---9-months-ago,https://www.mavin.io/item/Pokemon-Charizard-XY17-EX-Holo-NM%2FM-Normal%2FRegular-Size-Promo-Card-2016-%F0%9F%94%A5%F0%9F%94%A5%F0%9F%94%A5?itemId=383921276272&q=Charizard%20EX%202016%20XY17
6,Charizard EX,POKEMON 2016 ** CHARIZARD EX **XY17 ULTRA PROMO HOLOFOIL !! MT/NM,21.95,---a-year-ago,https://www.mavin.io/item/POKEMON-2016-%2A%2A-CHARIZARD-EX-%2A%2AXY17-ULTRA-PROMO-HOLOFOIL-%21%21--MT%2FNM?itemId=313145069964&q=Charizard%20EX%202016%20XY17
6,Charizard EX,"Pokemon Card Charizard EX XY17 HOLO , HP 180 , 2016 , Trading Cards !",13.67,---a-year-ago,https://www.mavin.io/item/Pokemon-Card-Charizard-EX-XY17-HOLO-%2C-HP-180-%2C-2016-%2C-Trading-Cards-%21?itemId=124259490837&q=Charizard%20EX%202016%20XY17
7,Luvdisc,AVERAGE,$1.69,AVERAGE,https://mavin.io/search?q=Luvdisc+2008+77/106&bt=sold&page=1
7,Luvdisc,2008 Pokemon LUVDISC reverse holo 77/106,1.99,---6-months-ago,https://www.mavin.io/item/2008-Pokemon-LUVDISC-reverse-holo-77%2F106?itemId=114709458149&q=Luvdisc%202008%2077%2F106
8,Pichu,AVERAGE,$12.74,AVERAGE,https://mavin.io/search?q=Pichu+2002+58/165&bt=sold&page=1
8,Pichu,Pokemon Pichu 2002 Expedition Reverse Holo 58/165 LP,19.9,---2-months-ago,https://www.mavin.io/item/Pokemon-Pichu-2002-Expedition-Reverse-Holo-58%2F165-LP?itemId=334115868491&q=Pichu%202002%2058%2F165
8,Pichu,Pichu 58/165 RARE Pokemon Expedition E Reader Series Vintage Card TCG NM 2002,22.76,---2-months-ago,https://www.mavin.io/item/Pichu-58%2F165-RARE-Pokemon-Expedition-E-Reader-Series-Vintage-Card-TCG-NM-2002?itemId=353486090044&q=Pichu%202002%2058%2F165
8,Pichu,Pichu Expedition Rare 58/165 Pokemon Card Rare 2002 NM,18.8,---3-months-ago,https://www.mavin.io/item/Pichu-Expedition-Rare-58%2F165-Pokemon-Card-Rare-2002-NM?itemId=184933690716&q=Pichu%202002%2058%2F165
8,Pichu,2002 Pokemon Expedition Pichu Reverse Holo 58/165 BGS 9.5 True Gem Mint POP 1,400.0,---3-months-ago,https://www.mavin.io/item/2002-Pokemon-Expedition-Pichu-Reverse-Holo-58%2F165-BGS-9.5-True-Gem-Mint-POP-1?itemId=284323458867&q=Pichu%202002%2058%2F165
8,Pichu,Rare Pichu #58/165 2002 Pokemon Expedition Base Set,3.25,---4-months-ago,https://www.mavin.io/item/Rare-Pichu-%2358%2F165-2002-Pokemon-Expedition-Base-Set?itemId=184907692247&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon 2002 Expedition PICHU Reverse Foil/Holo 58/165 - LIGHTLY PLAYED,16.5,---4-months-ago,https://www.mavin.io/item/Pokemon-2002-Expedition-PICHU-Reverse-Foil%2FHolo-58%2F165-%3D-LIGHTLY-PLAYED-?itemId=373617437784&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon 2002 Expedition PICHU Reverse Foil/Holo 58/165 - LIGHTLY PLAYED,20.01,---4-months-ago,https://www.mavin.io/item/Pokemon-2002-Expedition-PICHU-Reverse-Foil%2FHolo-58%2F165-%3D-LIGHTLY-PLAYED-?itemId=174801231823&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon 2002 Expedition PICHU Reverse Foil/Holo 58/165 - NEVER PLAYED to VERY LP,27.0,---4-months-ago,https://www.mavin.io/item/Pokemon-2002-Expedition-PICHU-Reverse-Foil%2FHolo-58%2F165-%3D-NEVER-PLAYED-to-VERY-LP?itemId=174796571925&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon Card Pichu Reverse Holo 58/165 Nintendo 2002 Expedition Base Set Card,14.99,---5-months-ago,https://www.mavin.io/item/Pokemon-Card-Pichu-Reverse-Holo-58%2F165-Nintendo-2002-Expedition-Base-Set-Card?itemId=234014376818&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon Card Pichu Reverse Holo 58/165 Nintendo 2002 Expedition Base Set Card,15.5,---5-months-ago,https://www.mavin.io/item/Pokemon-Card-Pichu-Reverse-Holo-58%2F165-Nintendo-2002-Expedition-Base-Set-Card?itemId=144028282672&q=Pichu%202002%2058%2F165
8,Pichu,NM Pokemon Card Pichu Reverse Holo 58/165 Nintendo 2002 Expedition Base Set,16.5,---6-months-ago,https://www.mavin.io/item/NM-Pokemon-Card-Pichu-Reverse-Holo-58%2F165-Nintendo-2002-Expedition-Base-Set?itemId=224422723340&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon Expedition Pichu 58/165 Non Holo 2002 GREAT CONDITION!!,11.99,---7-months-ago,https://www.mavin.io/item/Pokemon-Expedition-Pichu-58%2F165-Non-Holo-2002-GREAT-CONDITION%21%21?itemId=353427233350&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon 2002 Expedition Pichu 58/165 Non Holo Psa 10 Gem Mint,250.0,---7-months-ago,https://www.mavin.io/item/Pokemon-2002-Expedition-Pichu-58%2F165-Non-Holo-Psa-10-Gem-Mint?itemId=313412205183&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon Card Pichu Reverse Holo 58/165 Nintendo 2002 Expedition Base Set Card,27.49,---7-months-ago,https://www.mavin.io/item/Pokemon-Card-Pichu-Reverse-Holo-58%2F165-Nintendo-2002-Expedition-Base-Set-Card?itemId=303931379689&q=Pichu%202002%2058%2F165
8,Pichu,New PICHU 58/165 Expedition Pokemon Non Holo NM Unplayed 2002 PSA Ready E-Reader,11.88,---7-months-ago,https://www.mavin.io/item/New-PICHU-58%2F165-Expedition-Pokemon-Non-Holo-NM-Unplayed-2002-PSA-Ready-E%3DReader?itemId=143990424643&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon Card Pichu Reverse Holo 58/165 Nintendo 2002 Expedition Base Set,29.0,---7-months-ago,https://www.mavin.io/item/Pokemon-Card-Pichu-Reverse-Holo-58%2F165-Nintendo-2002-Expedition-Base-Set?itemId=294067978816&q=Pichu%202002%2058%2F165
8,Pichu,Pokemon Expedition Pichu 58/165 Rare Non Holo 2002,13.94,---7-months-ago,https://www.mavin.io/item/Pokemon-Expedition-Pichu-58%2F165-Rare-Non-Holo-2002?itemId=154338125005&q=Pichu%202002%2058%2F165
8,Pichu,Pichu 58/165 Reverse Holo Foil Rare 2002 Pokemon Expedition E Reader TCG,10.5,---8-months-ago,https://www.mavin.io/item/Pichu-58%2F165-Reverse-Holo-Foil-Rare-2002-Pokemon-Expedition-E-Reader-TCG?itemId=383955404107&q=Pichu%202002%2058%2F165
